# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-92.8383,0.976606,0.132076,2,7,0,93.3639,-188.647,23.4627,89.5894,374.457,374.457,421.382,562.158,585.621,632.546,702.934,749.859,749.859,820.247,820.247,843.71,937.561,1031.41,1125.26,1125.26,1148.72,1172.19,1195.65,1195.65
-92.7705,0.968002,0.201413,9,539,0,93.8792,-130.84,22.2591,64.6238,403.38,403.38,447.898,581.453,603.712,648.23,715.007,759.526,759.526,826.303,826.303,848.562,937.599,1026.64,1115.67,1115.67,1137.93,1160.19,1182.45,1182.45
-92.2109,0.467766,0.299753,3,11,0,93.8699,-129.801,21.9553,82.5906,397.127,397.127,441.037,572.769,594.724,638.635,704.501,748.412,748.412,814.277,814.277,836.233,924.054,1011.88,1099.7,1099.7,1121.65,1143.61,1165.56,1165.56
-92.1012,0.900304,0.146733,2,3,0,93.3263,-129.927,22.087,73.0904,400.16,400.16,444.334,576.856,598.943,643.117,709.378,753.552,753.552,819.813,819.813,841.9,930.247,1018.6,1106.94,1106.94,1129.03,1151.12,1173.2,1173.2
-92.7266,0.946658,0.18758,3,7,0,92.8821,-129.697,21.7056,73.4099,391.238,391.238,434.649,564.883,586.589,630,695.117,738.528,738.528,803.645,803.645,825.351,912.173,998.995,1085.82,1085.82,1107.52,1129.23,1150.93,1150.93
-92.8005,0.999656,0.264594,7,183,0,93.0101,-136.34,22.7105,74.8602,408.711,408.711,454.132,590.395,613.106,658.527,726.658,772.079,772.079,840.21,840.21,862.921,953.763,1044.6,1135.45,1135.45,1158.16,1180.87,1203.58,1203.58
-93.0987,0.391323,0.417109,1,3,0,93.5492,-136.042,22.7224,91.8485,409.295,409.295,454.74,591.074,613.796,659.241,727.408,772.853,772.853,841.02,841.02,863.743,954.632,1045.52,1136.41,1136.41,1159.13,1181.86,1204.58,1204.58
-94.6627,0.99262,0.175542,9,1007,0,95.9637,-231.686,24.9656,81.1858,367.488,367.488,417.419,567.212,592.178,642.109,717.006,766.937,766.937,841.834,841.834,866.799,966.662,1066.52,1166.39,1166.39,1191.35,1216.32,1241.28,1241.28
-94.6627,0.296996,0.271743,3,7,0,95.163,-231.686,24.9656,81.1858,367.488,367.488,417.419,567.212,592.178,642.109,717.006,766.937,766.937,841.834,841.834,866.799,966.662,1066.52,1166.39,1166.39,1191.35,1216.32,1241.28,1241.28
-94.1557,0.998022,0.0946001,8,479,0,96.3695,-224.134,23.6259,93.9954,342.887,342.887,390.139,531.894,555.52,602.771,673.649,720.901,720.901,791.778,791.778,815.404,909.907,1004.41,1098.91,1098.91,1122.54,1146.17,1169.79,1169.79
